JDAY,SS
266.25,0.022
266.5,0.026
266.75,0.023
267,0.019
267.25,0.014
267.5,0.01
267.75,0.013
268,0.015
268.25,0.018
268.5,0.021
268.75,0.016
269,0.018
269.25,0.02
269.5,0.015
269.75,0.017
270,0.013
270.25,0.009
270.5,0.009
270.75,0.003
271,0.01
271.25,0.009
271.5,0.004
271.75,0.004
272,0.004
272.25,0.005
272.5,0.005
272.75,0.004
273,0.004
273.25,0.005
273.5,0.005
273.75,0.005
274,0.161
274.25,0.495
274.5,0.631
274.75,0.672
275,0.652
275.25,0.625
275.5,0.49
275.75,0.427
276,0.411
276.25,0.334
276.5,0.278
276.75,0.285
277,0.454
277.25,0.331
277.5,0.279
277.75,0.28
278,0.229
278.25,0.065
278.5,0.077
278.75,0.148
279,0.054
279.25,0.024
279.5,0.084
279.75,0.074
280,0.085
280.25,0.144
280.5,0.081
280.75,0.065
281,0.11
281.25,0.128
281.5,0.091
281.75,0.074
282,0.1
282.25,0.105
282.5,0.107
282.75,0.102
283,0.088
283.25,0.077
283.5,0.074
283.75,0.07
284,0.062
284.25,0.052
284.5,0.068
284.75,0.072
285,0.06
285.25,0.035
285.5,0.029
285.75,0.039
286,0.022
286.25,0.01
286.5,0.016
286.75,0.011
287,0.014
287.25,0.016
287.5,0.012
287.75,0.011
288,0.023
288.25,0.029
288.5,0.014
288.75,0.025
289,0.023
289.25,0.019
289.5,0.016
289.75,0.022
290,0.013
290.25,0.013
290.5,0.022
290.75,0.019
291,0.018
291.25,0.017
291.5,0.015
291.75,0.012
292,0.012
292.25,0.008
292.5,0.013
292.75,0.01
293,0.013
293.25,0.011
293.5,0.013
293.75,0.012
294,0.013
294.25,0.014
294.5,0.07
294.75,0.201
295,0.268
295.25,0.163
295.5,0.118
295.75,0.113
296,0.092
296.25,0.116
296.5,0.115
296.75,0.087
297,0.041
297.25,0.045
297.5,0.043
297.75,0.019
298,0.026
298.25,0.042
298.5,0.096
298.75,0.177
299,0.203
299.25,0.068
299.5,0.023
299.75,0.031
300,0.022
300.25,0.02
300.5,0.02
300.75,0.019
301,0.02
301.25,0.02
301.5,0.02
301.75,0.02
302,0.024
302.25,0.019
302.5,0.023
302.75,0.023
303,0.022
303.25,0.02
303.5,0.019
303.75,0.019
304,0.017
304.25,0.017
304.5,0.016
304.75,0.015
305,0.015
305.25,0.013
305.5,0.014
305.75,0.012
306,0.012
306.25,0.01
306.5,0.01
306.75,0.011
307,0.01
307.25,0.011
307.5,0.015
307.75,0.014
308,0.013
308.25,0.009
308.5,0.009
308.75,0.009
309,0.008
309.25,0.006
309.5,0.006
309.75,0.013
310,0.011
310.25,0.006
310.5,0.007
310.75,0.007
311,0.007
311.25,0.008
311.5,0.007
311.75,0.006
312,0.006
312.25,0.006
312.5,0.005
312.75,0.009
313,0.01
313.25,0.009
313.5,0.006
313.75,0.006
314,0.007
314.25,0.006
314.5,0.006
314.75,0.005
315,0.005
315.25,0.004
315.5,0.004
315.75,0.005
316,0.004
316.25,0.004
316.5,0.006
316.75,0.006
317,0.007
317.25,0.003
317.5,0.004
317.75,0.005
318,0.005
318.25,0.004
318.5,0.006
318.75,0.01
319,0.009
319.25,0.005
319.5,0.008
319.75,0.009
320,0.008
320.25,0.008
320.5,0.008
320.75,0.01
321,0.01
321.25,0.011
321.5,0.01
321.75,0.01
322,0.011
322.25,0.01
322.5,0.01
322.75,0.01
323,0.01
323.25,0.01
323.5,0.01
323.75,0.011
324,0.012
324.25,0.012
324.5,0.012
324.75,0.009
325,0.01
325.25,0.028
325.5,0.017
325.75,0.001
326,0.01
326.25,0.006
326.5,0.007
326.75,0.006
327,0.017
327.25,0.013
327.5,0.012
327.75,0.009
328,0.005
328.25,0.01
328.5,0.077
328.75,0.03
329,0.01
329.25,0.009
329.5,0.011
329.75,0.01
330,0.007
330.25,0.007
330.5,0.012
330.75,0.021
331,0.026
331.25,0.008
331.5,0.007
331.75,0.005
332,0.006
332.25,0.007
332.5,0.009
332.75,0.011
333,0.011
333.25,0.011
333.5,0.011
333.75,0.012
334,0.011
334.25,0.011
334.5,0.011
334.75,0.011
335,0.011
335.25,0.011
335.5,0.011
335.75,0.01
336,0.01
336.25,0.012
336.5,0.016
336.75,0.017
337,0.017
337.25,0.007
337.5,0.009
337.75,0.011
338,0.01
338.25,0.01
338.5,0.01
338.75,0.009
339,0.01
339.25,0.011
339.5,0.011
339.75,0.01
340,0.013
340.25,0.011
340.5,0.011
340.75,0.01
341,0.023
341.25,0.012
341.5,0.01
341.75,0.007
342,0.011
342.25,0.006
342.5,0.007
342.75,0.015
343,0.011
343.25,0.018
343.5,0.01
343.75,0.009
344,0.007
344.25,0.006
344.5,0.01
344.75,0.045
345,0.068
345.25,0.046
345.5,0.037
345.75,0.022
346,0.009
346.25,0.016
346.5,0.021
346.75,0.015
347,0.028
347.25,0.02
347.5,0.029
347.75,0.017
348,0.058
348.25,0.066
348.5,0.067
348.75,0.097
349,0.205
349.25,0.349
349.5,0.196
349.75,0.14
350,0.215
350.25,0.296
350.5,0.064
350.75,0.036
351,0.059
351.25,0.071
351.5,0.089
351.75,0.109
352,0.113
352.25,0.113
352.5,0.158
352.75,0.241
353,0.302
353.25,0.26
353.5,0.322
353.75,0.168
354,0.132
354.25,0.114
354.5,0.14
354.75,0.097
355,0.069
355.25,0.06
355.5,0.06
355.75,0.085
356,0.081
356.25,0.099
356.5,0.103
356.75,0.118
357,0.067
357.25,0.03
357.5,0.033
357.75,0.033
358,0.026
358.25,0.026
358.5,0.031
