JDAY,PO4
308.5,4.13E-03
308.75,3.64E-03
309,3.66E-03
309.25,3.91E-03
309.5,0.003714002
309.75,3.26E-03
310,3.34E-03
310.25,3.61E-03
310.5,3.43E-03
310.75,3.13E-03
311,3.66E-03
311.25,4.00E-03
311.5,3.76E-03
311.75,3.35E-03
312,3.48E-03
312.25,3.55E-03
312.5,3.30E-03
312.75,2.82E-03
313,2.91E-03
313.25,3.01E-03
313.5,2.72E-03
313.75,2.41E-03
314,2.88E-03
314.25,3.21E-03
314.5,2.97E-03
314.75,2.60E-03
315,2.98E-03
315.25,3.36E-03
315.5,3.22E-03
315.75,3.54E-03
316,4.63E-03
316.25,5.45E-03
316.5,5.39E-03
316.75,5.15E-03
317,6.00E-03
317.25,6.19E-03
317.5,6.16E-03
317.75,5.90E-03
318,6.24E-03
318.25,6.44E-03
318.5,6.18E-03
318.75,5.92E-03
319,6.11E-03
319.25,6.20E-03
319.5,6.21E-03
319.75,6.13E-03
320,6.12E-03
320.25,6.13E-03
320.5,6.04E-03
320.75,5.98E-03
321,6.03E-03
321.25,6.10E-03
321.5,6.08E-03
321.75,6.06E-03
322,6.22E-03
322.25,6.31E-03
322.5,6.29E-03
322.75,6.24E-03
323,6.30E-03
323.25,6.41E-03
323.5,6.56E-03
323.75,6.67E-03
324,0.006689653
324.25,6.71E-03
324.5,6.53E-03
324.75,6.20E-03
325,6.51E-03
325.25,6.55E-03
325.5,6.44E-03
325.75,6.22E-03
326,6.45E-03
326.25,6.59E-03
326.5,6.52E-03
326.75,6.58E-03
327,6.64E-03
327.25,6.68E-03
327.5,6.67E-03
327.75,6.70E-03
328,6.91E-03
328.25,7.08E-03
328.5,7.11E-03
328.75,7.11E-03
329,7.19E-03
329.25,7.17E-03
329.5,7.07E-03
329.75,7.06E-03
330,7.23E-03
330.25,7.26E-03
330.5,7.22E-03
330.75,7.24E-03
331,7.83E-03
331.25,8.46E-03
331.5,8.64E-03
331.75,8.60E-03
332,8.82E-03
332.25,8.70E-03
332.5,8.49E-03
332.75,8.57E-03
333,8.77E-03
333.25,8.79E-03
333.5,8.70E-03
333.75,8.44E-03
334,8.66E-03
334.25,8.67E-03
334.5,8.57E-03
334.75,8.27E-03
335,8.33E-03
335.25,8.42E-03
335.5,8.34E-03
335.75,8.14E-03
336,8.22E-03
336.25,8.38E-03
336.5,0.008361398
336.75,8.31E-03
337,8.32E-03
337.25,8.24E-03
337.5,7.94E-03
337.75,7.64E-03
338,7.68E-03
338.25,7.80E-03
338.5,7.75E-03
338.75,7.66E-03
339,7.94E-03
339.25,8.14E-03
339.5,8.25E-03
339.75,8.16E-03
340,8.72E-03
340.25,9.22E-03
340.5,9.24E-03
340.75,9.12E-03
341,9.17E-03
341.25,9.26E-03
341.5,9.20E-03
341.75,9.10E-03
342,9.06E-03
342.25,8.99E-03
342.5,8.88E-03
342.75,8.37E-03
343,7.61E-03
343.25,7.20E-03
343.5,7.19E-03
343.75,7.27E-03
344,7.18E-03
344.25,6.81E-03
344.5,6.59E-03
344.75,6.50E-03
345,6.51E-03
345.25,6.55E-03
345.5,6.58E-03
345.75,6.58E-03
346,6.61E-03
346.25,6.63E-03
346.5,6.61E-03
346.75,6.51E-03
347,6.58E-03
347.25,6.65E-03
347.5,6.62E-03
347.75,6.53E-03
348,6.59E-03
348.25,6.65E-03
348.5,6.64E-03
348.75,6.56E-03
349,6.71E-03
349.25,6.79E-03
349.5,6.79E-03
349.75,6.69E-03
350,6.90E-03
350.25,7.02E-03
350.5,6.95E-03
350.75,6.80E-03
351,6.81E-03
351.25,6.83E-03
351.5,6.84E-03
351.75,6.79E-03
352,6.87E-03
352.25,0.006914341
352.5,6.88E-03
352.75,6.80E-03
353,7.03E-03
353.25,7.17E-03
353.5,7.15E-03
353.75,7.04E-03
354,7.08E-03
354.25,7.21E-03
354.5,7.52E-03
354.75,7.68E-03
355,8.10E-03
355.25,8.37E-03
355.5,8.49E-03
355.75,8.58E-03
356,8.85E-03
356.25,9.04E-03
356.5,9.17E-03
356.75,9.14E-03
357,9.79E-03
357.25,9.91E-03
357.5,1.01E-02
357.75,1.03E-02
358,1.06E-02
358.25,1.07E-02
358.5,1.07E-02
